Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\android\res\layout\browser_item_book.xml,100,0.0,0,0,1,0,101,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\browser_item_folder.xml,67,0.0,0,0,1,0,68,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\browser_item_parent_dir.xml,40,0.0,0,0,1,0,41,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\color_picker.xml,51,0.0,0,0,1,0,52,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\options.xml,20,0.0,0,0,0,0,21,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\options_tap_zone_grid.xml,165,0.0,0,0,1,0,166,1
C:/Users/norhe/pfaa\CoolReader\android\res\layout\option_item.xml,49,0.0,0,0,1,0,50,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\option_item_boolean.xml,51,0.0,0,0,1,0,52,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\option_item_color.xml,50,0.0,0,0,1,0,51,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\option_value.xml,30,0.0,0,0,1,0,31,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\option_value_image.xml,36,0.0,0,0,1,0,37,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\progress_dialog.xml,42,0.0,0,0,1,0,43,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\search_dialog.xml,16,0.0,0,0,0,0,17,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\search_popup.xml,42,0.0,0,0,1,0,43,0
C:/Users/norhe/pfaa\CoolReader\android\res\layout\toc_item.xml,63,0.0,0,0,1,0,64,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_bookmark_shortcut_context_menu.xml,5,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_browser_menu.xml,5,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_file_browser_context_menu.xml,7,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_file_browser_folder_context_menu.xml,5,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_file_browser_recent_context_menu.xml,7,0.0,0,0,0,0,8,0
C:/Users/norhe/pfaa\CoolReader\android\res\menu\cr3_reader_menu.xml,17,0.0,0,0,0,0,18,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\bulgarian_hyphen.pdb,16,0.0,0,0,0,0,87,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\chm.css,90,0.0,0,0,1,0,91,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\english_us_hyphen.pdb,34,0.0,0,0,1,0,103,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\epub.css,141,0.0,0,0,1,0,142,1
C:/Users/norhe/pfaa\CoolReader\android\res\raw\fb2.css,121,0.0,0,0,1,0,122,1
C:/Users/norhe/pfaa\CoolReader\android\res\raw\french_hyphen.pdb,35,0.0,0,0,1,0,72,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\german_hyphen.pdb,33,0.0,0,0,1,0,88,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\htm.css,89,0.0,0,0,1,0,90,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\rtf.css,140,0.0,0,0,1,0,141,1
C:/Users/norhe/pfaa\CoolReader\android\res\raw\russian_enus_hyphen.pdb,54,0.0,0,0,1,0,160,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\spanish_hyphen.pdb,2,0.0,0,0,0,0,43,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\txt.css,52,0.0,0,0,1,0,53,0
C:/Users/norhe/pfaa\CoolReader\android\res\raw\ukrain_hyphen.pdb,33,0.0,0,0,1,0,67,0
C:/Users/norhe/pfaa\CoolReader\android\res\values\strings.xml,150,0.0,0,0,1,0,151,1
C:/Users/norhe/pfaa\CoolReader\android\res\values\styles.xml,64,0.0,0,0,1,0,65,0
C:/Users/norhe/pfaa\CoolReader\android\res\values-ru\strings.xml,150,0.0,0,0,1,0,153,1
C:/Users/norhe/pfaa\CoolReader\android\res\values-uk\strings.xml,150,0.0,0,0,1,0,154,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$DefKeyAction.class,114,0.0,0,0,1,0,126,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$DefTapAction.class,108,0.0,0,0,1,0,119,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$InputDialog.class,112,0.0,0,0,1,0,131,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$InputHandler.class,106,0.0,0,0,1,0,115,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$LoadLastDocumentTask.class,123,0.0,0,0,1,0,137,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader$ScreenBacklightControl.class,116,0.0,0,0,1,0,136,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\CoolReader.class,289,0.0,0,0,1,0,389,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BackgroundTextureInfo.class,35,0.0,0,0,1,0,88,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BackgroundThread.class,98,0.0,0,0,1,0,160,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BaseDialog.class,157,0.0,0,0,1,0,196,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BookInfo.class,37,0.0,0,0,1,0,117,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Bookmark.class,25,0.0,0,0,1,0,103,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BookmarksDlg$BookmarkList.class,94,0.0,0,0,1,0,111,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\BookmarksDlg.class,124,0.0,0,0,1,0,146,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog$IconPreviewDrawable.class,132,0.0,0,0,1,0,150,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog$OnColorChangedListener.class,105,0.0,0,0,1,0,111,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog$ScrollAnimation.class,119,0.0,0,0,1,0,141,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog$TextSeekBarDrawable.class,153,0.0,0,0,1,0,177,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\ColorPickerDialog.class,129,0.0,0,0,1,0,170,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\CRDB$QueryHelper.class,231,0.0,0,0,1,0,264,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\CRDB.class,227,0.0,0,0,1,0,288,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\DocumentFormat.class,37,0.0,0,0,1,0,60,0
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Engine$EngineTask.class,107,0.0,0,0,1,0,117,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Engine$HyphDict.class,109,0.0,0,0,1,0,121,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Engine$TaskHandler.class,120,0.0,0,0,1,0,135,1
C:/Users/norhe/pfaa\CoolReader\bin\org\coolreader\crengine\Engine.class,198,0.0,0,0,1,0,263,1
