Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage Élevé,Méthode Longue,Spaghetti Code,Message Chains,Large Class
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\docs\CHANGES,2173,0.0069028992176714,2,0,1,1,2175,1
C:/Users/norhe/pfaa\CoolReader\crengine\lib\projects\vc2008\crengine.vcproj,2130,0.0,0,0,1,1,2131,1
C:/Users/norhe/pfaa\CoolReader\thirdparty\libpng\scripts\makefile.dec,181,0.1215469613259668,0,0,1,0,182,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\n516\skins\default\cr3_menu_shortcut_selected.png,6,0.0,0,0,0,0,14,0
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v5\skins\default\arrow-right-disabled.png,3,0.0,0,0,0,0,11,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\cache\ftcmru.h,189,0.1058201058201058,7,0,1,0,203,1
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\layout\activity_forgetpassword.xml,58,0.0,0,0,1,0,59,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\Docs\antiword.php,139,0.0,0,0,1,0,140,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\classic\scroll_body_horizontal.png,3,0.0,0,0,0,0,6,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-xhdpi\log.png,79,0.0,0,0,1,0,307,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\properties.c,185,0.0162162162162162,0,0,1,0,186,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v5\skins\default\cr3_progress_body.png,5,0.0,0,0,0,0,10,0
C:/Users/norhe/pfaa\Websocket-With-Angular\.git\hooks\fsmonitor-watchman.sample,142,0.2957746478873239,0,0,1,0,143,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\antiword\icons.c,84,0.0476190476190476,0,0,1,0,85,0
C:/Users/norhe/pfaa\Find-Job\app\src\main\res\drawable-mdpi\log.png,60,0.0,0,0,1,0,219,0
C:/Users/norhe/pfaa\CoolReader\crengine\include\chmfmt.h,10,0.6,1,0,0,0,12,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\libjpeg\jdct.h,143,0.2797202797202797,9,0,1,0,159,1
C:/Users/norhe/pfaa\CoolReader\cr3gui\data\devices\v3\skins\default\scroll_slider_vertical.png,5,0.0,0,0,0,0,12,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\autofit\afdummy.h,29,0.1379310344827586,0,0,1,0,31,0
C:/Users/norhe/pfaa\CoolReader\thirdparty\freetype\src\raster\ftrend1.h,29,0.1724137931034483,1,0,1,0,31,0
